'model','brand','line','plant','quote_reference','remarks','meta_series_series'
KDP25UX4,Yale,#8,Maximal,'2023-978228',Std is without 4 wheel drive unable to change in NOVO,'7R8'
F3.5UT4,Hyster,#9,Maximal,'2023-958568',Std is without 4 wheel drive unable to change in NOVO,'3B8'
KDP35UX4,Yale,#9,Maximal,'2023-978228',Std is without 4 wheel drive unable to change in NOVO,'7R8'
F5.0UT,Hyster,#10,Maximal,'2023-958568','','3B9'
KDP5.0UX,Yale,#10,Maximal,'2023-978228','','7R9'
F1.8UT,Hyster,#4,Maximal,'2023-959190','','3B4'
F2.5UT,Hyster,#5,Maximal,'2023-959190','','3B4'
F3.5UT,Hyster,#6,Maximal,'2023-959190','','3B4'
H2.0UT,Hyster,#1,Maximal,'2023-959190','','3C1'
GP20UX,Yale,#1,Maximal,'2023-978219','','7S1'
H2.5UT,Hyster,#2,Maximal,'2023-959190','','3C1'
GP25UX,Yale,#2,Maximal,'2023-978219','','7S1'
H3.0UT,Hyster,#3,Maximal,'2023-959190','','3C1'
GP30UX,Yale,#3,Maximal,'2023-978219','','7S1'
H3.5UT,Hyster,#4,Maximal,'2023-959190','','3C1'
GP35UX,Yale,#4,Maximal,'2023-978219','','7S1'
S1.5UT,Hyster,#4,Ruyi,'2023-959190','','3C3'
MS15UX,Yale,#4,Ruyi,'2023-978250','','7S3'
J1.5UT,Hyster,#4,Maximal,'2023-959718',std is without hose unable to change in NOVO,'3C4'
ERP15UX,Yale,#4,Maximal,'2023-978201',std is without hose unable to change in NOVO,'7S4'
J1.8UT,Hyster,#5,Maximal,'2023-959718',std is without hose unable to change in NOVO,'3C4'
C1.3,Hyster,#6,Masate,'2023-963791','','464'
ERP18UX,Yale,#5,Maximal,'2023-978201',std is without hose unable to change in NOVO,'7S4'
J2.0UT,Hyster,#6,Maximal,'2023-959718',std is without hose unable to change in NOVO,'3C4'
ERP20UX,Yale,#6,Maximal,'2023-978201',std is without hose unable to change in NOVO,'7S4'
J2.5UT,Hyster,#7,Maximal,'2023-959718',std is without hose unable to change in NOVO,'3C4'
ERP25UX,Yale,#7,Maximal,'2023-978201',std is without hose unable to change in NOVO,'7S4'
J3.0UT,Hyster,#8,Maximal,'2023-959718',std is without hose unable to change in NOVO,'3C4'
ERP30UX,Yale,#8,Maximal,'2023-978201',std is without hose unable to change in NOVO,'7S4'
J3.5UT,Hyster,#9,Maximal,'2023-959718',std is without hose unable to change in NOVO,'3C4'
ERP35UX,Yale,#9,Maximal,'2023-978201',std is without hose unable to change in NOVO,'7S4'
J1.6UTT,Hyster,#1,Maximal,'2023-959718','','3C5'
ERP16UXT,Yale,#1,Maximal,'2023-978201','','7S5'
J1.8UTT,Hyster,#2,Maximal,'2023-959721','','3C5'
ERP18UXT,Yale,#2,Maximal,'2023-978201','','7S5'
J2.0UTT,Hyster,#3,Maximal,'2023-959721','','3C5'
ERP20UXT,Yale,#3,Maximal,'2023-978201','','7S5'
H4.0UT,Hyster,#5,Maximal,'2023-959721','','3C6'
GP40UX,Yale,#5,Maximal,'2023-978219','','7S6'
H4.5UT,Hyster,#6,Maximal,'2023-959721','','3C6'
GP45UX,Yale,#6,Maximal,'2023-978219','','7S6'
H5.0UT,Hyster,#7,Maximal,'2023-959721','','3C6'
GP50UX,Yale,#7,Maximal,'2023-978219','','7S6'
H5.0UTS6,Hyster,#8,Maximal,'2023-959721','','3C6'
GP50UXS6,Yale,#8,Maximal,'2023-978219','','7S6'
T6.0UT,Hyster,#1,Ruyi,'2023-959721','','3C7'
MT60UX,Yale,#1,Ruyi,'2023-978250','','7S7'
J3.50EX,Hyster,#8,SN,'2023-959730',Master sheet std not set,'920'
FB35PYE,Yale,#8,SN,'2023-965396',Master sheet std not set,'901'
J4.00EX,Hyster,#9,SN,'2023-959730',Master sheet std not set,'920'
FB40PYE,Yale,#9,SN,'2023-965396',Master sheet std not set,'901'
E100XN,Hyster,#3,Greenville,'2023-959730','','099'
ERC100VH,Yale,#3,Greenville,'2023-958042','','938'
E100XNS,Hyster,#2,Greenville,'2023-959730','','099'
ERC100VHS,Yale,#2,Greenville,'2023-958042','','938'
E120XN,Hyster,#4,Greenville,'2023-959730','','099'
ERC120VH,Yale,#4,Greenville,'2023-958042','','938'
E80XN,Hyster,#1,Greenville,'2023-959730','','099'
R1.2E,Hyster,#2,Masate,'2023-959730','','432'
MR12E,Yale,#2,Masate,'2023-964947','','942'
R1.4E,Hyster,#3,Masate,'2023-959730','','432'
MR14E,Yale,#3,Masate,'2023-964947','','942'
J30XN,Hyster,#8,Greenville,'','','935'
ERP030VF,Yale,#8,Greenville,'2023-958042','','955'
J35XN,Hyster,#9,Greenville,'','','935'
ERP035VF,Yale,#9,Greenville,'2023-958042','','955'
