'order_no','aopmargin_percentage','booking_margin_percentage_after_sur_charge','ctry_code','date','dealer_name','dealer_net','dealer_net_after_sur_charge','margin_after_sur_charge','margin_percentage_after_sur_charge','model','netrevenue','quantity','serial_number','series','total_cost','currency','product_dimension','region'
H20518,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08798X,A3D4,530.91,,268,1
H20519,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08799X,A3D4,530.91,,268,1
H20520,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08800X,A3D4,530.91,,268,1
H20521,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08801X,A3D4,530.91,,268,1
H20522,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08802X,A3D4,530.91,,268,1
H20523,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08803X,A3D4,530.91,,268,1
H20524,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08804X,A3D4,530.91,,268,1
H20525,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08805X,A3D4,530.91,,268,1
H20526,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08806X,A3D4,530.91,,268,1
H20527,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08807X,A3D4,530.91,,268,1
H20528,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08808X,A3D4,530.91,,268,1
H20529,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08809X,A3D4,530.91,,268,1
H20530,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08810X,A3D4,530.91,,268,1
H20531,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08811X,A3D4,530.91,,268,1
H20532,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08812X,A3D4,530.91,,268,1
H20533,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08813X,A3D4,530.91,,268,1
H20534,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08814X,A3D4,530.91,,268,1
H20536,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,1539.4,1539.4,1008.4900000000001,0.6551188774847344,MPC15,769.7,1,A3D4M08815X,A3D4,530.91,,268,1
H20537,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08816X,A3D4,530.91,,268,1
H20538,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08817X,A3D4,530.91,,268,1
H20539,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08818X,A3D4,530.91,,268,1
H20540,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08819X,A3D4,530.91,,268,1
H20541,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08820X,A3D4,530.91,,268,1
H20542,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08821X,A3D4,530.91,,268,1
H20543,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08822X,A3D4,530.91,,268,1
H20544,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08823X,A3D4,530.91,,268,1
H20545,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08824X,A3D4,530.91,,268,1
H20546,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08825X,A3D4,530.91,,268,1
H20547,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08826X,A3D4,530.91,,268,1
H20548,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08827X,A3D4,530.91,,268,1
